,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamType_x,teamOdds_x,opponentOdds_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamType_y,teamOdds_y,opponentOdds_y,correct_prediction,different_prediction,lower_odds_winner
0,1,1,2022-09-10,London Irish,Worcester,45,14,59,W,home,1.13,6.0,0,0,Worcester,London Irish,14,45,59,L,away,6.0,1.13,True,True,True
1,1,1,2022-09-10,Bristol,Bath,31,29,60,W,home,1.24,4.04,0,0,Bath,Bristol,29,31,60,L,away,4.04,1.24,True,True,True
5,1,0,2022-09-10,Exeter,Leicester,24,20,44,W,home,2.06,1.8,0,1,Leicester,Exeter,20,24,44,L,away,1.8,2.06,False,True,False
7,0,0,2022-09-10,Newcastle,Harlequins,31,40,71,L,home,2.92,1.42,1,1,Harlequins,Newcastle,40,31,71,W,away,1.42,2.92,True,True,True
8,1,1,2022-09-11,Sale,Northampton,29,22,51,W,home,1.4,3.01,0,0,Northampton,Sale,22,29,51,L,away,3.01,1.4,True,True,True
11,1,1,2022-09-11,Gloucester,Wasps,27,21,48,W,home,1.36,3.16,0,0,Wasps,Gloucester,21,27,48,L,away,3.16,1.36,True,True,True
12,0,0,2022-09-17,Bath,Sale,20,37,57,L,home,1.99,1.83,1,1,Sale,Bath,37,20,57,W,away,1.83,1.99,True,True,True
13,0,0,2022-09-17,Harlequins,Saracens,27,30,57,L,home,2.62,1.5,1,1,Saracens,Harlequins,30,27,57,W,away,1.5,2.62,True,True,True
17,0,1,2022-09-17,Wasps,Bristol,8,23,31,L,home,1.52,2.59,1,0,Bristol,Wasps,23,8,31,W,away,2.59,1.52,False,True,False
19,1,1,2022-09-17,Leicester,Newcastle,36,21,57,W,home,1.05,9.0,0,0,Newcastle,Leicester,21,36,57,L,away,9.0,1.05,True,True,True
20,1,1,2022-09-17,Northampton,London Irish,38,22,60,W,home,1.42,2.89,0,0,London Irish,Northampton,22,38,60,L,away,2.89,1.42,True,True,True
23,0,0,2022-09-18,Worcester,Exeter,21,36,57,L,home,5.62,1.13,1,1,Exeter,Worcester,36,21,57,W,away,1.13,5.62,True,True,True
24,0,0,2022-09-23,Bath,Wasps,31,39,70,L,home,1.82,2.01,1,0,Wasps,Bath,39,31,70,W,away,2.01,1.82,False,False,False
27,1,1,2022-09-24,Saracens,Gloucester,41,39,80,W,home,1.21,4.3,0,0,Gloucester,Saracens,39,41,80,L,away,4.3,1.21,True,True,True
29,0,0,2022-09-24,Northampton,Leicester,21,41,62,L,home,1.82,2.03,1,1,Leicester,Northampton,41,21,62,W,away,2.03,1.82,True,True,False
31,1,1,2022-09-24,Worcester,Newcastle,39,5,44,W,home,1.74,2.14,0,0,Newcastle,Worcester,5,39,44,L,away,2.14,1.74,True,True,True
32,1,1,2022-09-24,Bristol,London Irish,40,36,76,W,home,1.31,3.47,0,0,London Irish,Bristol,36,40,76,L,away,3.47,1.31,True,True,True
35,1,1,2022-09-25,Exeter,Harlequins,43,42,85,W,home,1.29,3.65,0,0,Harlequins,Exeter,42,43,85,L,away,3.65,1.29,True,True,True
36,1,0,2022-09-30,Newcastle,Bristol,30,15,45,W,home,2.4,1.59,0,1,Bristol,Newcastle,15,30,45,L,away,1.59,2.4,False,True,False
38,1,1,2022-10-01,London Irish,Bath,47,38,85,W,home,1.29,3.58,0,0,Bath,London Irish,38,47,85,L,away,3.58,1.29,True,True,True
42,1,1,2022-10-01,Saracens,Leicester,51,18,69,W,home,1.42,2.89,0,0,Leicester,Saracens,18,51,69,L,away,2.89,1.42,True,True,True
43,1,1,2022-10-01,Sale,Exeter,28,20,48,W,home,1.61,2.34,0,0,Exeter,Sale,20,28,48,L,away,2.34,1.61,True,True,True
44,1,1,2022-10-02,Harlequins,Northampton,35,29,64,W,home,1.45,2.78,0,0,Northampton,Harlequins,29,35,64,L,away,2.78,1.45,True,True,True
47,0,0,2022-10-07,Bristol,Exeter,14,50,64,L,home,2.02,1.82,1,1,Exeter,Bristol,50,14,64,W,away,1.82,2.02,True,True,True
49,0,1,2022-10-08,Leicester,Sale,16,26,42,L,home,1.33,3.34,1,0,Sale,Leicester,26,16,42,W,away,3.34,1.33,False,True,False
50,0,0,2022-10-08,Bath,Gloucester,17,21,38,L,home,3.28,1.34,1,1,Gloucester,Bath,21,17,38,W,away,1.34,3.28,True,True,True
