,date,team_x,actual_x,prediction_x,opponent_x,result_x,teamType_x,teamOdds_x,opponentOdds_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamType_y,teamOdds_y,opponentOdds_y,correct_prediction,different_prediction,lower_odds_winner,bet,return
0,2015-10-16,Newcastle,0,1,Gloucester,L,home,1.68,2.27,1,0,Gloucester,Newcastle,W,away,2.27,1.68,False,True,False,10,0.0
1,2015-10-16,Harlequins,1,1,Wasps,W,home,1.68,2.26,0,0,Wasps,Harlequins,L,away,2.26,1.68,True,True,True,10,16.8
2,2015-12-04,Gloucester,1,1,Sale,W,home,1.34,3.35,0,0,Sale,Gloucester,L,away,3.35,1.34,True,True,True,10,13.4
3,2015-12-27,Wasps,0,0,Saracens,L,home,2.5,1.57,1,1,Saracens,Wasps,W,away,1.57,2.5,True,True,True,10,15.700000000000001
4,2016-01-09,Harlequins,1,1,Saracens,W,home,2.39,1.63,0,0,Saracens,Harlequins,L,away,1.63,2.39,True,True,False,10,23.900000000000002
5,2016-02-07,London Irish,1,0,Worcester,W,home,1.67,2.3,0,1,Worcester,London Irish,L,away,2.3,1.67,False,True,True,10,0.0
6,2016-02-13,Worcester,0,1,Bath,L,home,1.79,2.13,1,0,Bath,Worcester,W,away,2.13,1.79,False,True,False,10,0.0
7,2016-02-19,Harlequins,1,0,Leicester,W,home,2.27,1.67,0,1,Leicester,Harlequins,L,away,1.67,2.27,False,True,False,10,0.0
8,2016-02-20,Bath,0,0,Wasps,L,home,2.34,1.64,1,1,Wasps,Bath,W,away,1.64,2.34,True,True,True,10,16.4
9,2016-02-27,Sale,0,1,Saracens,D,home,1.55,2.53,0,0,Saracens,Sale,D,away,2.53,1.55,False,True,False,10,0.0
10,2016-03-11,Harlequins,1,1,Bath,W,home,1.62,2.38,0,0,Bath,Harlequins,L,away,2.38,1.62,True,True,True,10,16.200000000000003
11,2016-03-12,Wasps,1,1,Leicester,W,home,1.42,2.96,0,0,Leicester,Wasps,L,away,2.96,1.42,True,True,True,10,14.2
12,2016-04-16,Northampton,0,0,Leicester,L,home,1.75,2.13,1,1,Leicester,Northampton,W,away,2.13,1.75,True,True,False,10,21.299999999999997
13,2016-05-07,Harlequins,0,0,Exeter,L,home,2.06,1.82,1,1,Exeter,Harlequins,W,away,1.82,2.06,True,True,True,10,18.2
14,2015-10-17,Saracens,1,1,Sale,W,home,1.24,4.19,0,0,Sale,Saracens,L,away,4.19,1.24,True,True,True,10,12.4
15,2015-10-17,Bath,1,1,Exeter,W,home,1.26,3.96,0,0,Exeter,Bath,L,away,3.96,1.26,True,True,True,10,12.6
16,2015-10-18,London Irish,0,0,Leicester,L,home,2.09,1.77,1,1,Leicester,London Irish,W,away,1.77,2.09,True,True,True,10,17.7
17,2015-10-23,Gloucester,0,0,Saracens,L,home,2.28,1.67,1,1,Saracens,Gloucester,W,away,1.67,2.28,True,True,True,10,16.7
18,2015-10-24,Wasps,1,0,Bath,W,home,1.56,2.52,0,1,Bath,Wasps,L,away,2.52,1.56,False,True,True,10,0.0
19,2015-10-24,Exeter,1,1,London Irish,W,home,1.11,6.65,0,0,London Irish,Exeter,L,away,6.65,1.11,True,True,True,10,11.100000000000001
20,2015-10-24,Northampton,1,1,Newcastle,W,home,1.12,6.16,0,0,Newcastle,Northampton,L,away,6.16,1.12,True,True,True,10,11.200000000000001
21,2015-10-25,Leicester,1,1,Harlequins,W,home,1.43,2.93,0,0,Harlequins,Leicester,L,away,2.93,1.43,True,True,True,10,14.299999999999999
22,2015-10-31,Bath,0,1,Harlequins,L,home,1.42,2.94,1,0,Harlequins,Bath,W,away,2.94,1.42,False,True,False,10,0.0
23,2015-10-31,Saracens,1,1,London Irish,W,home,1.06,9.17,0,0,London Irish,Saracens,L,away,9.17,1.06,True,True,True,10,10.600000000000001
24,2015-11-01,Leicester,1,1,Wasps,W,home,1.5,2.66,0,0,Wasps,Leicester,L,away,2.66,1.5,True,True,True,10,15.0
