,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,points_difference,bet,return
0,1,0,2017-09-01,Gloucester,Exeter,28,21,49,W,2.48,1.58,home,0,1,Exeter,Gloucester,21,28,49,L,1.58,2.48,away,False,True,False,1,7,10,0.0
1,1,1,2017-09-01,Newcastle,Worcester,35,8,43,W,1.36,3.3,home,0,0,Worcester,Newcastle,8,35,43,L,3.3,1.36,away,True,True,True,1,27,10,13.600000000000001
4,1,1,2017-09-02,Saracens,Northampton,55,24,79,W,1.17,6.21,home,0,0,Northampton,Saracens,24,55,79,L,6.21,1.17,away,True,True,True,1,31,10,11.7
5,1,1,2017-09-02,Wasps,Sale,50,35,85,W,1.17,4.99,home,0,0,Sale,Wasps,35,50,85,L,4.99,1.17,away,True,True,True,1,15,10,11.7
7,1,0,2017-09-02,London Irish,Harlequins,39,29,68,W,4.32,1.22,home,0,1,Harlequins,London Irish,29,39,68,L,1.22,4.32,away,False,True,False,1,10,10,0.0
11,0,1,2017-09-03,Leicester,Bath,23,27,50,L,1.34,3.38,home,1,0,Bath,Leicester,27,23,50,W,3.38,1.34,away,False,True,False,1,4,10,0.0
13,0,1,2017-09-08,Sale,Newcastle,12,13,25,L,1.43,2.98,home,1,0,Newcastle,Sale,13,12,25,W,2.98,1.43,away,False,True,False,1,1,10,0.0
15,1,1,2017-09-09,Harlequins,Gloucester,28,17,45,W,1.5,2.66,home,0,0,Gloucester,Harlequins,17,28,45,L,2.66,1.5,away,True,True,True,1,11,10,15.0
16,1,0,2017-09-09,Bath,Saracens,31,21,52,W,2.74,1.49,home,0,1,Saracens,Bath,21,31,52,L,1.49,2.74,away,False,True,False,1,10,10,0.0
17,1,0,2017-09-09,Northampton,Leicester,24,11,35,W,1.91,1.94,home,0,1,Leicester,Northampton,11,24,35,L,1.94,1.91,away,False,True,True,1,13,10,0.0
19,1,1,2017-09-09,Exeter,London Irish,37,7,44,W,1.1,6.87,home,0,0,London Irish,Exeter,7,37,44,L,6.87,1.1,away,True,True,True,1,30,10,11.0
22,0,0,2017-09-10,Worcester,Wasps,10,24,34,L,5.06,1.19,home,1,1,Wasps,Worcester,24,10,34,W,1.19,5.06,away,True,True,True,1,14,10,11.899999999999999
25,1,1,2017-09-15,Sale,London Irish,36,7,43,W,1.22,4.4,home,0,0,London Irish,Sale,7,36,43,L,4.4,1.22,away,True,True,True,1,29,10,12.2
